#STEPS          TOT_EN          EN_INTER        EN_LRC          EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        COMPRESSIBILITY ENTHALPY        VOLUME          
1                 3.77632123e+06  2.37763348e+06 -5.02589074e+04  1.01340192e+06  3.66101590e+05  6.94431478e+04  5.37445713e+04  3.24326521e+05  8.08853742e+07  7.72309726e+04  5.00000000e+02  7.89173136e+02  1.80745276e+02  5.13636078e+02  4.84674301e+04
2                 3.77632123e+06  2.37763348e+06 -5.02589074e+04  1.01340192e+06  3.66101590e+05  6.94431478e+04  5.37445713e+04  3.24326521e+05  8.08517702e+07  7.71990644e+04  5.00000000e+02  7.89173136e+02  1.80670601e+02  5.13449811e+02  4.84674301e+04
