,benzeneUA,ethanolAA,methaneUA,pentaneUA,waterSPCE
cassandra,0.8005232325729208,-0.013958481310405866,-0.10215946746610602,0.09371417559268423,-0.21637400960300263
gomc,0.6028253150415477,0.2771726667805733,-0.23735260993284427,-0.09374693552585264,-0.8193141874762443
gromacs,0.6218309187739759,-1.0345502501661727,-0.2591262314170703,-0.13176742220796794,0.02842973779082389
hoomd,0.5921412569125846,0.526303989255112,-0.2530308613304995,-0.0766276810411522,0.9991696244682381
lammps-VU,-3.209476041821359,0.09724780024518066,1.0667116020796237,0.22763466475846442,0.8457881991037732
mcccs,0.5921553186101248,0.14778427521887758,-0.21504243193310352,-0.0192068015545268,-0.8376993643472161
