,potential_energy,tot_vdw_energy,tail_energy,tot_electrostatics,short_range_electrostatics,long_range_electrostatics,tot_pair_energy,bonds_energy,angles_energy,dihedrals_energy,tot_bonded_energy,intramolecular_energy,intermolecular_energy,total_electrostatics
lammps-VU,57176.38530082049,76663.71351238873,-275.65101326646686,-19487.328211568238,292697.83809846675,-312185.166310035,57176.38530082049,0.0,0.0,0.0,0.0,0.0,0.0,
hoomd,57176.4729980335,0.0,-275.65118284735,0.0,-18732.0788230695,-755.208659586083,76663.7606760111,0.0,0.0,0.0,0.0,0.0,0.0,
gromacs,57175.91796875,76663.54983520508,-275.8251647949219,-19487.6298828125,0.0,4493.1005859375,57175.91995239258,0.0,0.0,0.0,0.0,,,
mcccs,57175.42275162585,76664.19828867125,-275.65275632152225,-19488.77553704541,,,57175.42275162584,0.0,0.0,0.0,0.0,,,
gomc,57175.433263516505,0.0,-275.6512035045485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76939.41837932877,-19488.33392311652
cassandra,57175.778,76663.84352,-275.65148,-19488.070299999996,324948.58,-344436.65030000004,57175.77322,,7.2745889e-09,0.0,,7.2745889e-09,57451.4247,
