,potential_energy,tot_vdw_energy,tail_energy,tot_electrostatics,short_range_electrostatics,long_range_electrostatics,tot_pair_energy,bonds_energy,angles_energy,dihedrals_energy,tot_bonded_energy,intramolecular_energy,intermolecular_energy
lammps-VU,31409.503929307408,19408.270670300964,-417.8757523306034,3575.331282583502,81265.61265888733,-77690.28137630383,22983.601952884466,5.9652454519500356e-05,7233.270516470011,1192.6314003007387,8425.901976423203,,
hoomd,31409.6386935969,19363.9493078645,-417.875752330603,3575.466990784098,-12484.3237474291,16059.7907382132,19408.27067030094,5.96524545191986e-05,7233.27051100042,1192.63049177032,0.0,0.0,0.0
gromacs,31409.1484375,19408.18956375122,-417.9560241699219,3575.072021484375,-14791.646484375,1403.370849609375,22983.261585235596,6.286923598963767e-05,7233.265625,1192.62060546875,8425.886293337986,,
mcccs,31409.519802548064,19408.405387095594,-417.8785923630039,3575.1596619394923,,,22983.565049035085,0.0,7233.316278303621,1192.6384752094077,8425.95475351303,,
gomc,31409.560442760474,22407.883079025178,-417.87578305803,575.7854324857847,0.0,0.0,22825.758862083207,6.225275294415543e-05,7233.2713718767545,1192.6204803853652,0.0,11469.829713658895,19781.821050573206
cassandra,31409.469,19408.114324000002,-417.87622,3575.3415999999957,95647.9142,-92072.5726,22983.455923999998,,7233.2478,1192.7656,,11469.911144,20357.434399999995
