,potential_energy,tot_vdw_energy,tail_energy,tot_electrostatics,short_range_electrostatics,long_range_electrostatics,tot_pair_energy,bonds_energy,angles_energy,dihedrals_energy,tot_bonded_energy,intramolecular_energy,intermolecular_energy
lammps-VU,388924.22364089265,388924.2235790427,-250.54916165210687,0.0,0.0,0.0,388924.2235790427,6.02877287576594e-05,1.522308140204045e-06,3.9923977221445445e-08,6.184996087508489e-05,,
hoomd,388939.009526007,388939.009526007,-250.558686917935,0.0,0.0,0.0,388939.009526007,1.53615277085307e-22,2.8876678808868e-10,0.0,0.0,0.0,0.0
gromacs,388939.125,388939.1318054199,-250.58694458007812,0.0,0.0,0.0,388939.1318054199,0.0,3.8524208822998673e-10,0.0,3.8524208822998673e-10,,
mcccs,388939.0095806981,388939.0095188476,-250.55868691331776,0.0,,,388939.0095188476,6.028810906180086e-05,1.5223164286319892e-06,3.9921937021332453e-08,6.185034742745418e-05,,
gomc,388939.0510802308,389189.60989132803,-250.5587055035384,0.0,0.0,0.0,389189.60989132803,0.0,0.0,0.0,0.0,0.0,389189.60989132803
cassandra,388939.82,388939.82103,-250.55897,0.0,0.0,0.0,388939.82103,,3.3068365e-07,7.6991505e-08,,4.07675155e-07,389190.38
