,potential_energy,tot_vdw_energy,tail_energy,tot_electrostatics,short_range_electrostatics,long_range_electrostatics,tot_pair_energy,bonds_energy,angles_energy,dihedrals_energy,tot_bonded_energy,intramolecular_energy,intermolecular_energy
lammps-VU,537739.1201412209,537739.1201406015,-181.1080840640345,0.0,0.0,0.0,537739.1201406015,5.538203280251401e-07,6.262974415313544e-08,2.922457877532078e-09,6.193725300558077e-07,,
hoomd,537737.484007284,0.0,-181.107803669136,0.0,0.0,0.0,537737.484000041,5.53819893825059e-07,6.68619961920037e-06,2.92194221925724e-09,0.0,0.0,0.0
gromacs,537737.1875,537737.1640167236,-181.1484832763672,0.0,0.0,0.0,537737.1640167236,2.275351789648994e-06,6.813033905928023e-06,0.0057220458984375,0.005731134284133077,,
mcccs,537734.390763772,537734.3907637058,-181.10676432738157,0.0,,,537734.3907637058,0.0,6.262948215433327e-08,2.921678870332545e-09,6.555116102466582e-08,,
gomc,537737.3919505652,537918.4892979516,-181.10781695713783,0.0,0.0,0.0,0.0,2.4486286741319637e-06,7.013628549639668e-06,0.010041617717836702,0.0,0.010051079991481537,0.0
cassandra,537738.4,537738.40139,-181.10811,0.0,0.0,0.0,537738.40139,,6.3702885e-08,2.9359072e-09,,-122.1004999333612,538041.61
