,TraPPE Methane,TraPPE Pentane,TraPPE Benzene,OPLS-AA Ethanol,SPC/E Water
LAMMPS,0.0,0.0,0.0,3575.331282583502,-19487.328211568238
HOOMD-blue,0.0,0.0,0.0,3575.466990784098,-19487.28748265558
GROMACS,0.0,0.0,0.0,3575.072021484375,-19487.6298828125
MCCCS-MN,0.0,0.0,0.0,3575.1596619394923,-19488.77553704541
GOMC,0.0,0.0,0.0,575.7854324857847,-19488.33392311652
Cassandra,0.0,0.0,0.0,3575.3415999999957,-19488.070299999996
