,molecule,engine,temperature,pressure,ensemble,forcefield_name,cutoff_style,long_range_correction,r_cut,pressure-avg,pressure-std,pressure-sem,temperature-avg,temperature-std,temperature-sem,potential_energy-avg,potential_energy-std,potential_energy-sem,density-avg,density-std,density-sem
0,ethanolAA,gromacs,320.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,4.843282292066061,13.712756658784008,3.428189164696002,319.8734844549492,0.2209578709615165,0.055239467740379126,-3677.1930138599964,17.146934877413035,4.286733719353259,0.7736717459433223,0.00037667314182095104,9.416828545523776e-05
3,ethanolAA,mcccs,300.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,145.61546090485416,152.87990171580677,38.21997542895169,300.0,0.0,0.0,-9624.870357183845,21.492766343197047,5.373191585799262,0.7914208917911246,0.0008449374841369361,0.00021123437103423402
5,ethanolAA,mcccs,280.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,9.334534096960937,262.56912429514097,65.64228107378524,280.0,0.0,0.0,-10993.896435283532,22.78806346124259,5.6970158653106475,0.8127309012571694,0.0009879992936392664,0.0002469998234098166
13,ethanolAA,lammps-VU,320.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,0.05009234221055181,1.1547293742148055,0.28868234355370137,320.00797192867907,0.0505905301816974,0.01264763254542435,-3107.1879760350184,7.59893947778585,1.8997348694464624,0.7738857319469004,0.00028086413721301626,7.021603430325406e-05
16,ethanolAA,lammps-VU,280.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,82.06253368842634,316.03484920574937,79.00871230143734,280.01365745583473,0.04748751556388501,0.011871878890971252,-6553.124745968517,7.681125403381469,1.9202813508453673,0.8159397273704785,0.00028815602846081896,7.203900711520474e-05
17,ethanolAA,cassandra,320.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,1634.8622611289443,283.28092659352745,70.82023164838186,320.0,0.0,0.0,-8211.544145572916,24.794962810425634,6.1987407026064085,0.7687202859646355,0.0008468373536246669,0.00021170933840616672
21,ethanolAA,gomc,300.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,189.33884519343806,160.73121090962596,40.18280272740649,300.0,0.0,0.0,-1153163.4855680207,4151.372410961057,1037.8431027402642,0.7913484722631563,0.0013261621823414586,0.00033154054558536466
24,ethanolAA,gromacs,280.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,-0.2974109154398299,12.893628427866703,3.223407106966676,279.95686237478856,0.30803565380922443,0.07700891345230611,-7048.4578550293245,19.882522518151212,4.970630629537803,0.8167769358122503,0.00022130438270237453,5.532609567559363e-05
26,ethanolAA,cassandra,300.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,1306.5241974025141,326.08413793394254,81.52103448348564,300.0,0.0,0.0,-9618.100656297396,23.642645476418732,5.910661369104683,0.7912818525394791,0.0008829528154467213,0.00022073820386168033
31,ethanolAA,hoomd,320.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,87.57123102640668,650.6622028990995,162.66555072477487,319.9899579984607,0.02747773368908505,0.0068694334222712625,-3095.354562428899,14.100907024757275,3.5252267561893187,0.7721350167849217,0.00010358467109064264,2.589616777266066e-05
35,ethanolAA,hoomd,300.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,-5.559789728059526,424.5848310847852,106.1462077711963,299.9909625183243,0.02509052679661427,0.006272631699153567,-4843.847561942322,13.714705382161897,3.4286763455404743,0.7936996657943505,0.00011595468421424626,2.8988671053561566e-05
36,ethanolAA,cassandra,280.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,1100.9015507314693,355.4507643063722,88.86269107659305,280.0,0.0,0.0,-10989.091105359375,39.15544808085992,9.78886202021498,0.8134909356063542,0.0013345960311544694,0.00033364900778861734
37,ethanolAA,gromacs,300.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,2.405239834934696,12.911429356891174,3.2278573392227936,300.01126727002986,0.32422977927389857,0.08105744481847464,-5380.647206001551,22.695341097610306,5.673835274402577,0.7956233378115081,0.00036260222117529743,9.065055529382436e-05
41,ethanolAA,gomc,280.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,73.82676037295047,229.41972307688044,57.35493076922011,280.0,0.0,0.0,-1316410.1096084896,4920.244044398107,1230.0610110995267,0.8131313624791041,0.0014130531794989858,0.00035326329487474646
45,ethanolAA,lammps-VU,300.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,-106.99240501529107,379.58742346806423,94.89685586701606,300.0094306556304,0.056336128005403066,0.014084032001350767,-4856.021019873646,6.144061404520532,1.536015351130133,0.7954595555073519,0.00017465346321123896,4.366336580280974e-05
49,ethanolAA,gomc,320.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,187.7324407434529,235.43716134138515,58.85929033534629,320.0,0.0,0.0,-982220.6171556511,3957.009782240972,989.252445560243,0.7680116167513229,0.0011735365258760796,0.0002933841314690199
51,ethanolAA,hoomd,280.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,83.65637634267397,518.1092286596833,129.5273071649208,279.99340107482897,0.02386642422561283,0.005966606056403208,-6541.843237864434,9.993788073329387,2.498447018332347,0.8145008873068461,0.00010759273174640664,2.689818293660166e-05
52,ethanolAA,mcccs,320.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,125.21204106083074,145.7568461057914,36.43921152644785,320.0,0.0,0.0,-8217.88673341539,22.632590743446276,5.658147685861569,0.7683913005838312,0.0008251778303865455,0.00020629445759663638
