,molecule,engine,temperature,pressure,ensemble,forcefield_name,cutoff_style,long_range_correction,r_cut,pressure-avg,pressure-std,pressure-sem,temperature-avg,temperature-std,temperature-sem,potential_energy-avg,potential_energy-std,potential_energy-sem,density-avg,density-std,density-sem
22,methaneUA,lammps-VU,140.0,1318.0,NPT,trappe-ua,hard,energy_pressure,1.4,1.3668039930104023,0.12963617587472182,0.032409043968680454,140.02781977429845,0.06961489857032642,0.017403724642581605,-5698.7413728977035,0.8557644608484989,0.21394111521212472,0.3759611908953642,4.435796206346811e-05,1.1089490515867028e-05
25,methaneUA,hoomd,140.0,1318.0,NPT,trappe-ua,hard,energy_pressure,1.4,1319.4610440258425,42.51767233912304,10.62941808478076,139.9906506732986,0.025606914855120334,0.006401728713780083,-5698.7678346225,0.5250798151353567,0.13126995378383918,0.3759553573225096,3.49114605521321e-05,8.727865138033025e-06
27,methaneUA,gomc,140.0,1318.0,NPT,trappe-ua,hard,energy_pressure,1.4,1301.81422061616,58.83067456113999,14.707668640284998,140.0,0.0,0.0,-685093.8421600625,208.00218845104496,52.00054711276124,0.3757889993377083,0.00011691176661201252,2.922794165300313e-05
39,methaneUA,cassandra,140.0,1318.0,NPT,trappe-ua,hard,energy_pressure,1.4,1292.1047136521488,31.592770246951666,7.8981925617379165,140.0,0.0,0.0,-5695.189620521354,2.915553296563871,0.7288883241409677,0.3757235620453125,0.0001751962404427804,4.37990601106951e-05
54,methaneUA,mcccs,140.0,1318.0,NPT,trappe-ua,hard,energy_pressure,1.4,1285.4831025069893,37.20743432388115,9.301858580970288,140.0,0.0,0.0,-5695.738792702148,3.029363327288005,0.7573408318220013,0.37575936057731646,0.0001837137385027993,4.592843462569983e-05
55,methaneUA,gromacs,140.0,1318.0,NPT,trappe-ua,hard,energy_pressure,1.4,13.366359502094982,0.8733651897941064,0.2183412974485266,140.00397730808072,0.05180255592573789,0.012950638981434472,-5698.715231630187,1.0664498856306037,0.26661247140765093,0.3759573327670739,5.478411950749435e-05,1.3696029876873588e-05
