#STEPS          TOT_EN          EN_INTER        EN_LRC          EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        COMPRESSIBILITY ENTHALPY        VOLUME          
1                 4.67786183e+07  4.68087536e+07 -3.01352873e+04  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.13394037e+08  5.60874992e+05  4.00000000e+02  6.91874331e+02  1.69247044e+03  7.30473913e+03  7.49912863e+04
2                 4.67786183e+07  4.68087536e+07 -3.01352873e+04  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.13394037e+08  5.60874992e+05  4.00000000e+02  6.91874331e+02  1.69247044e+03  7.30473913e+03  7.49912863e+04
