,Program(Group),T / K,ρ / kg m−3,δρ / kg m−3,u / kJ mol−1,δu / kJ mol−1,statepoint,Relative_Error
0,DL_POLY(BS),98.0,,,,,temp: 98.0,
1,DL_POLY(BS),173.0,701.26,3.55,-20.482,0.185,temp: 173.0,0.7935205602674263
2,DL_POLY(BS),248.0,637.12,4.75,-14.826,0.262,temp: 248.0,0.5340027324739749
3,DL_POLY(BS),298.0,588.35,6.5,-11.139,0.322,temp: 298.0,-0.14624059831356792
4,GROMACS(BS),98.0,763.68,0.09,-26.284,0.004,temp: 98.0,0.6954783121525125
5,GROMACS(BS),173.0,700.97,0.1,-20.498,0.004,temp: 173.0,0.751838272724327
6,GROMACS(BS),248.0,637.72,0.17,-14.808,0.007,temp: 248.0,0.6286794050623203
7,GROMACS(BS),298.0,591.73,0.31,-11.202,0.011,temp: 298.0,0.4274072418796839
8,GROMACS(KL),98.0,756.89,1.8,-26.004,0.054,temp: 98.0,-0.19982115587010418
9,GROMACS(KL),173.0,705.02,1.8,-20.909,0.044,temp: 173.0,1.3339529780676782
10,GROMACS(KL),248.0,641.98,0.91,-15.769,0.019,temp: 248.0,1.3008837804395463
11,GROMACS(KL),298.0,594.25,1.2,-12.292,0.026,temp: 298.0,0.8550973475858927
12,Ind.MC(PB),98.0,759.16,0.11,-28.588,0.006,temp: 98.0,0.09949103741580664
13,Ind.MC(PB),173.0,696.86,0.14,-25.176,0.007,temp: 173.0,0.16109964582032493
14,Ind.MC(PB),248.0,632.68,0.14,-21.964,0.006,temp: 248.0,-0.16660464467976369
15,Ind.MC(PB),298.0,587.87,0.17,-19.884,0.006,temp: 298.0,-0.22770538035284948
16,LAMMPS(AA),98.0,758.19,1.87,-26.209,0.048,temp: 98.0,-0.028408886587413612
17,LAMMPS(AA),173.0,696.74,1.22,-20.855,0.055,temp: 173.0,0.1438518026990396
18,LAMMPS(AA),248.0,631.9,2.2,-15.794,0.082,temp: 248.0,-0.28968431904460384
19,LAMMPS(AA),298.0,587.3,2.94,-12.48,0.108,temp: 298.0,-0.3244448090245012
20,LAMMPS(KL),98.0,764.64,3.63,-22.811,0.145,temp: 98.0,0.8220596802381899
21,LAMMPS(KL),173.0,689.18,3.35,-20.042,0.161,temp: 173.0,-0.9427623139419035
22,LAMMPS(KL),248.0,632.03,3.58,-14.697,0.186,temp: 248.0,-0.26917103998379716
23,LAMMPS(KL),298.0,592.15,4.92,-11.185,0.221,temp: 298.0,0.49868892616404553
24,ms2(KL),98.0,764.81,0.71,-22.88,0.028,temp: 98.0,0.844475130836689
25,ms2(KL),173.0,691.82,0.94,-20.048,0.035,temp: 173.0,-0.5633097652736262
26,ms2(KL),248.0,634.11,0.31,-14.681,0.012,temp: 248.0,0.05904142498912785
27,ms2(KL),298.0,591.04,0.54,-11.13,0.016,temp: 298.0,0.3103016176982118
28,ms2*(KL),98.0,773.85,0.11,-22.938,0.008,temp: 98.0,2.036449680310116
29,ms2*(KL),173.0,708.52,0.07,-17.822,0.006,temp: 173.0,1.837015069105148
30,ms2*(KL),248.0,640.92,0.14,-13.958,0.022,temp: 248.0,1.1336216588667998
31,ms2*(KL),298.0,593.23,0.12,-11.568,0.021,temp: 298.0,0.681984685752429
32,ms2(PB),98.0,738.63,0.12,-25.638,0.004,temp: 98.0,-2.6075042613329997
33,ms2(PB),173.0,685.92,0.35,-19.92,0.012,temp: 173.0,-1.4113287187368024
34,ms2(PB),248.0,631.19,0.24,-14.69,0.008,temp: 248.0,-0.40171838160746287
35,ms2(PB),298.0,590.8,0.25,-11.124,0.008,temp: 298.0,0.26956922667857103
36,NAMD(FM),98.0,744.14,2.68,-25.482,0.118,temp: 98.0,-1.8809799507579428
37,NAMD(FM),173.0,677.76,4.0,-20.116,0.191,temp: 173.0,-2.5841820509841558
38,NAMD(FM),248.0,615.73,5.54,-15.11,0.26,temp: 248.0,-2.841220645300411
39,NAMD(FM),298.0,572.33,6.38,-11.762,0.313,temp: 298.0,-2.8651276988744834
40,Tinker(AA),98.0,757.1,1.3,,,temp: 98.0,-0.17213148160135852
41,Tinker(AA),173.0,696.6,1.8,,,temp: 173.0,0.12372931905754278
42,Tinker(AA),248.0,633.8,1.9,,,temp: 248.0,0.010125144151808546
43,Tinker(AA),298.0,590.5,2.2,,,temp: 298.0,0.2186537379040297
44,TOWHEE(BS),98.0,761.37,0.89,-26.183,0.047,temp: 98.0,0.39089189519637013
45,TOWHEE(BS),173.0,698.22,0.55,-20.341,0.039,temp: 173.0,0.3565752011948865
46,TOWHEE(BS),248.0,635.65,0.68,-14.78,0.033,temp: 248.0,0.30204488463253293
47,TOWHEE(BS),298.0,590.99,0.64,-11.19,0.034,temp: 298.0,0.30181570290246135
