,Program(Group),T / K,ρ / kg m−3,δρ / kg m−3,u / kJ mol−1,δu / kJ mol−1,statepoint,Relative_Error
0,DL_POLY(BS),98.0,,,,,temp: 98.0,
1,DL_POLY(BS),173.0,732.72,3.05,-21.576,0.161,temp: 173.0,0.11648283329975402
2,DL_POLY(BS),248.0,681.35,4.22,-16.988,0.222,temp: 248.0,-0.07968010637050871
3,DL_POLY(BS),298.0,649.48,4.57,-14.135,0.269,temp: 298.0,-0.13262242587558934
4,GROMACS(BS),98.0,789.47,0.05,-26.616,0.003,temp: 98.0,0.7083307723797471
5,GROMACS(BS),173.0,734.71,0.1,-21.599,0.003,temp: 173.0,0.38838997496132655
6,GROMACS(BS),248.0,683.36,0.13,-17.026,0.003,temp: 248.0,0.21508740369949106
7,GROMACS(BS),298.0,650.81,0.15,-14.162,0.004,temp: 298.0,0.07188519895285526
8,GROMACS(KL),98.0,789.61,0.71,-26.629,0.022,temp: 98.0,0.7261897997121748
9,GROMACS(KL),173.0,734.11,0.29,-21.598,0.007,temp: 173.0,0.30640792219904067
10,GROMACS(KL),248.0,683.31,0.36,-17.04,0.006,temp: 248.0,0.20775487857336164
11,GROMACS(KL),298.0,651.65,0.7,-14.185,0.005,temp: 298.0,0.20104790937083222
12,Ind.MC(PB),98.0,786.37,0.11,-26.435,0.007,temp: 98.0,0.3128808814473753
13,Ind.MC(PB),173.0,731.84,0.09,-21.468,0.005,temp: 173.0,-0.003757510751593444
14,Ind.MC(PB),248.0,681.52,0.1,-16.957,0.006,temp: 248.0,-0.05474952094170865
15,Ind.MC(PB),298.0,649.25,0.1,-14.091,0.007,temp: 298.0,-0.16798840610908447
16,LAMMPS(AA),98.0,787.09,1.19,-26.535,0.051,temp: 98.0,0.4047273077284451
17,LAMMPS(AA),173.0,731.79,1.24,-21.505,0.046,temp: 173.0,-0.010589348481792996
18,LAMMPS(AA),248.0,681.73,1.88,-16.952,0.057,temp: 248.0,-0.023952915412001702
19,LAMMPS(AA),298.0,649.12,2.07,-14.09,0.061,temp: 298.0,-0.18797787319757947
20,LAMMPS(KL),98.0,779.86,3.66,-26.367,0.11,temp: 98.0,-0.5175638895105981
21,LAMMPS(KL),173.0,729.98,2.46,-21.511,0.107,temp: 173.0,-0.257901874314672
22,LAMMPS(KL),248.0,681.04,2.71,-16.999,0.134,temp: 248.0,-0.12514176215245784
23,LAMMPS(KL),298.0,649.94,3.17,-14.15,0.16,temp: 298.0,-0.061890465408599035
24,ms2(KL),98.0,780.69,0.62,-26.368,0.017,temp: 98.0,-0.4116853703254747
25,ms2(KL),173.0,731.57,0.38,-21.503,0.008,temp: 173.0,-0.04064943449461822
26,ms2(KL),248.0,681.19,0.27,-16.944,0.005,temp: 248.0,-0.10314418677408621
27,ms2(KL),298.0,649.35,0.35,-14.077,0.004,temp: 298.0,-0.1526118929640843
28,ms2*(KL),98.0,788.61,0.08,-26.954,0.005,temp: 98.0,0.5986253187662494
29,ms2*(KL),173.0,733.15,0.06,-22.207,0.003,temp: 173.0,0.1752366377793832
30,ms2*(KL),248.0,682.57,0.08,-17.934,0.004,temp: 248.0,0.09923350670680942
31,ms2*(KL),298.0,650.77,0.08,-15.273,0.004,temp: 298.0,0.06573459369486218
32,ms2(PB),98.0,781.59,0.28,-26.414,0.008,temp: 98.0,-0.29687733747414474
33,ms2(PB),173.0,730.58,0.19,-21.495,0.004,temp: 173.0,-0.17591982155238606
34,ms2(PB),248.0,681.8,0.12,-16.972,0.004,temp: 248.0,-0.013687380235443834
35,ms2(PB),298.0,648.56,0.14,-14.092,0.004,temp: 298.0,-0.27408634680956995
36,NAMD(FM),98.0,782.13,3.09,-26.415,0.119,temp: 98.0,-0.22799251776334964
37,NAMD(FM),173.0,730.17,1.65,-21.506,0.165,temp: 173.0,-0.23194089093995715
38,NAMD(FM),248.0,681.31,2.09,-16.994,0.222,temp: 248.0,-0.08554612647141559
39,NAMD(FM),298.0,649.24,2.44,-14.141,0.261,temp: 298.0,-0.16952605742358276
40,Tinker(AA),98.0,777.7,0.9,,,temp: 98.0,-0.7931031683537929
41,Tinker(AA),173.0,729.3,0.9,,,temp: 173.0,-0.35081486744526785
42,Tinker(AA),248.0,681.6,1.4,,,temp: 248.0,-0.04301748073991156
43,Tinker(AA),298.0,656.2,1.6,,,temp: 298.0,0.9006792574681914
44,TOWHEE(BS),98.0,779.97,0.47,-26.554,0.038,temp: 98.0,-0.5035317966065445
45,TOWHEE(BS),173.0,732.49,0.65,-21.553,0.034,temp: 173.0,0.08505637974087649
46,TOWHEE(BS),248.0,681.94,0.51,-16.48,0.032,temp: 248.0,0.006843690117705245
47,TOWHEE(BS),298.0,649.74,0.77,-14.142,0.037,temp: 298.0,-0.09264349169859937
