,Program(Group),T / K,ρ / kg m−3,δρ / kg m−3,u / kJ mol−1,δu / kJ mol−1,statepoint,Relative_Error
0,DL_POLY(BS),98.0,790.76,1.15,-24.349,0.087,temp: 98.0,0.25247311360566377
1,DL_POLY(BS),173.0,725.28,1.69,-20.738,0.131,temp: 173.0,0.08023040121114045
2,DL_POLY(BS),248.0,665.52,2.0,-16.533,0.173,temp: 248.0,0.03242340239589599
3,DL_POLY(BS),298.0,627.2,2.41,-13.889,0.195,temp: 298.0,0.12794227317612056
4,GROMACS(BS),98.0,787.17,0.09,-25.443,0.003,temp: 98.0,-0.20266672462318894
5,GROMACS(BS),173.0,723.94,0.12,-20.776,0.028,temp: 173.0,-0.10467406153099328
6,GROMACS(BS),248.0,664.71,0.22,-16.442,0.026,temp: 248.0,-0.0893253999780901
7,GROMACS(BS),298.0,626.49,0.1,-13.914,0.032,temp: 298.0,0.014595909952334389
8,GROMACS(KL),98.0,787.43,0.07,-25.364,0.003,temp: 98.0,-0.16970395082388626
9,GROMACS(KL),173.0,724.29,0.1,-20.766,0.004,temp: 173.0,-0.056378119769997785
10,GROMACS(KL),248.0,665.47,0.14,-16.512,0.007,temp: 248.0,0.02490804422466861
11,GROMACS(KL),298.0,626.22,0.19,-13.937,0.008,temp: 298.0,-0.028507636625720027
12,ms2(KL),98.0,790.0,0.1,-25.279,0.005,temp: 98.0,0.15612039019231533
13,ms2(KL),173.0,725.32,0.14,-20.556,0.02,temp: 173.0,0.08574993741240917
14,ms2(KL),248.0,665.8,0.14,-16.5,0.01,temp: 248.0,0.0745094081548035
15,ms2(KL),298.0,626.73,0.2,-13.885,0.012,temp: 298.0,0.052910173577275676
16,ms2(PB),98.0,788.39,0.09,-25.437,0.004,temp: 98.0,-0.04799524756491377
17,ms2(PB),173.0,724.69,0.1,-20.712,0.006,temp: 173.0,-0.0011827577574046425
18,ms2(PB),248.0,665.69,0.13,-16.5,0.007,temp: 248.0,0.05797562017810326
19,ms2(PB),298.0,626.07,0.16,-13.876,0.008,temp: 298.0,-0.052454051391303796
20,Tinker(AA),98.0,788.8,1.2,,,temp: 98.0,0.003984511118599716
21,Tinker(AA),173.0,724.2,1.7,,,temp: 173.0,-0.06879707622281712
22,Tinker(AA),248.0,664.1,1.8,,,temp: 248.0,-0.18101276966714958
23,Tinker(AA),298.0,625.1,2.1,,,temp: 298.0,-0.20730753354210665
24,TOWHEE(BS),98.0,788.83,0.82,-25.397,0.058,temp: 98.0,0.0077879080954534165
25,TOWHEE(BS),173.0,725.17,0.57,-20.747,0.029,temp: 173.0,0.0650516766576789
26,TOWHEE(BS),248.0,665.84,0.64,-16.51,0.028,temp: 248.0,0.08052169469180248
27,TOWHEE(BS),298.0,626.98,0.79,-13.907,0.033,temp: 298.0,0.09282086485325468
