,Program(Group),T / K,ρ / kg m−3,δρ / kg m−3,u / kJ mol−1,δu / kJ mol−1,statepoint,Relative_Error
0,DL_POLY(BS),98.0,648.9,1.01,-15.23,0.051,temp: 98.0,0.045225149294378805
1,DL_POLY(BS),173.0,562.59,1.39,-12.577,0.068,temp: 173.0,0.07075476359409438
2,DL_POLY(BS),248.0,459.96,1.78,-9.834,0.079,temp: 248.0,0.30554660373198056
3,DL_POLY(BS),298.0,337.81,2.52,-7.091,0.094,temp: 298.0,16.417070322222436
4,GROMACS(BS),98.0,648.85,0.06,-15.227,0.002,temp: 98.0,0.03751631702829749
5,GROMACS(BS),173.0,562.67,0.09,-12.578,0.002,temp: 173.0,0.08498477191468354
6,GROMACS(BS),248.0,460.02,0.18,-9.835,0.004,temp: 248.0,0.3186310736776805
7,GROMACS(BS),298.0,333.74,0.45,-7.01,0.009,temp: 298.0,15.014455017135422
8,GROMACS(KL),98.0,648.64,0.09,-15.223,0.003,temp: 98.0,0.005139221510720881
9,GROMACS(KL),173.0,562.15,0.46,-12.567,0.01,temp: 173.0,-0.007510282169226788
10,GROMACS(KL),248.0,451.41,9.0,-9.667,0.18,temp: 248.0,-1.5589903635301812
11,GROMACS(KL),298.0,226.3,5.2,-5.06,0.087,temp: 298.0,-22.01183205376117
12,LAMMPS(AA),98.0,648.75,1.07,-15.225,0.035,temp: 98.0,0.022098652496117317
13,LAMMPS(AA),173.0,562.22,1.77,-12.567,0.049,temp: 173.0,0.0049409751113089345
14,LAMMPS(AA),248.0,459.6,3.51,-9.825,0.078,temp: 248.0,0.22703978405779326
15,LAMMPS(AA),298.0,332.81,15.54,-6.992,0.296,temp: 298.0,14.69395569680841
16,LAMMPS(KL),98.0,648.53,0.89,-15.224,0.029,temp: 98.0,-0.011820209474675554
17,LAMMPS(KL),173.0,562.13,1.61,-12.569,0.044,temp: 173.0,-0.011067784249374074
18,LAMMPS(KL),248.0,459.28,4.23,-9.822,0.095,temp: 248.0,0.1572559443473853
19,LAMMPS(KL),298.0,329.16,17.21,-6.928,0.326,temp: 298.0,13.43608202025618
20,ms2(KL),98.0,648.4,0.09,-15.212,0.003,temp: 98.0,-0.031863173366504516
21,ms2(KL),173.0,561.64,0.11,-12.548,0.003,temp: 173.0,-0.09822658521306346
22,ms2(KL),248.0,458.3,0.19,-9.794,0.004,temp: 248.0,-0.05645706476569729
23,ms2(KL),298.0,62.74,3.57,-5.242,0.108,temp: 298.0,-78.3783576803048
24,ms2(PB),98.0,648.36,0.07,-15.212,0.002,temp: 98.0,-0.038030239179369575
25,ms2(PB),173.0,561.94,0.11,-12.559,0.003,temp: 173.0,-0.044864054010793505
26,ms2(PB),248.0,459.07,0.27,-9.812,0.006,temp: 248.0,0.11146029953744169
27,ms2(PB),298.0,325.68,1.39,-6.861,0.026,temp: 298.0,12.236794240968011
28,Tinker(AA),98.0,648.5,1.1,,,temp: 98.0,-0.016445508834324347
29,Tinker(AA),173.0,562.1,1.4,,,temp: 173.0,-0.016404037369595004
30,Tinker(AA),248.0,459.9,1.5,,,temp: 248.0,0.2924621337862806
31,Tinker(AA),298.0,336.2,3.6,,,temp: 298.0,15.862227412839117
32,TOWHEE(BS),98.0,648.53,0.53,-15.22,0.017,temp: 98.0,-0.011820209474675554
33,TOWHEE(BS),173.0,562.29,0.57,-12.569,0.016,temp: 173.0,0.017392232391824435
34,TOWHEE(BS),248.0,459.49,0.74,-9.825,0.017,temp: 248.0,0.20305158915734134
35,TOWHEE(BS),298.0,327.11,0.27,-6.899,0.052,temp: 298.0,12.729605023836427
