,Program(Group),T / K,ρ / kg m−3,δρ / kg m−3,u / kJ mol−1,δu / kJ mol−1,statepoint,Relative_Error
0,DL_POLY(BS),98.0,800.31,1.0,-24.553,0.085,temp: 98.0,0.20569985350592634
1,DL_POLY(BS),173.0,738.32,1.53,-21.168,0.136,temp: 173.0,0.04103660000157065
2,DL_POLY(BS),248.0,684.46,1.97,-17.082,0.183,temp: 248.0,0.03444985666771471
3,DL_POLY(BS),298.0,650.72,2.05,-14.578,0.201,temp: 298.0,0.05403529427270891
4,GROMACS(BS),98.0,795.97,0.18,-25.618,0.007,temp: 98.0,-0.3377054986253822
5,GROMACS(BS),173.0,737.55,0.15,-21.096,0.024,temp: 173.0,-0.06329701981370017
6,GROMACS(BS),248.0,683.87,0.15,-17.068,0.001,temp: 248.0,-0.051779178506637526
7,GROMACS(BS),298.0,650.66,0.22,-14.62,0.003,temp: 298.0,0.044809756226141605
8,GROMACS(KL),98.0,796.28,0.07,-25.533,0.003,temp: 98.0,-0.2988908306160091
9,GROMACS(KL),173.0,737.68,0.08,-21.107,0.004,temp: 173.0,-0.045682252831904004
10,GROMACS(KL),248.0,684.26,0.12,-17.053,0.005,temp: 248.0,0.005219675252674983
11,GROMACS(KL),298.0,650.76,0.14,-14.622,0.007,temp: 298.0,0.06018565297040879
12,ms2(KL),98.0,804.0,0.09,-22.096,0.004,temp: 98.0,0.667719611424036
13,ms2(KL),173.0,738.34,0.11,-20.959,0.021,temp: 173.0,0.04374656415261385
14,ms2(KL),248.0,684.4,0.14,-17.019,0.011,temp: 248.0,0.025680802243196146
15,ms2(KL),298.0,650.57,0.15,-14.589,0.01,temp: 298.0,0.030971449156316864
16,ms2(PB),98.0,798.28,0.09,-25.66,0.004,temp: 98.0,-0.04847361765226773
17,ms2(PB),173.0,738.18,0.11,-21.093,0.005,temp: 173.0,0.02206685094423748
18,ms2(PB),248.0,684.53,0.11,-17.036,0.006,temp: 248.0,0.044680420162966986
19,ms2(PB),298.0,650.55,0.14,-14.59,0.007,temp: 298.0,0.027896269807449442
20,Tinker(AA),98.0,797.8,1.2,,,temp: 98.0,-0.10857374876356794
21,Tinker(AA),173.0,737.4,1.7,,,temp: 173.0,-0.08362175094653954
22,Tinker(AA),248.0,683.2,1.9,,,temp: 248.0,-0.14970028624699236
23,Tinker(AA),298.0,648.6,2.2,,,temp: 298.0,-0.27193371670568206
24,TOWHEE(BS),98.0,798.03,1.46,-25.588,0.082,temp: 98.0,-0.0797757692727354
25,TOWHEE(BS),173.0,738.65,0.46,-21.101,0.033,temp: 173.0,0.08575100849381417
26,TOWHEE(BS),248.0,684.85,0.59,-17.045,0.029,temp: 248.0,0.09144871042702722
27,TOWHEE(BS),298.0,650.72,0.57,-14.595,0.023,temp: 298.0,0.05403529427270891
