,Program(Group),T / K,ρ / kg m−3,δρ / kg m−3,u / kJ mol−1,δu / kJ mol−1,statepoint,Relative_Error
0,DL_POLY(BS),98.0,,,,,temp: 98.0,
1,DL_POLY(BS),173.0,727.59,3.04,-21.271,0.183,temp: 173.0,0.36300936835450226
2,DL_POLY(BS),248.0,678.41,4.07,-16.149,0.243,temp: 248.0,0.13468684386287905
3,DL_POLY(BS),298.0,649.1,4.73,-13.069,0.29,temp: 298.0,0.41290831579042614
4,GROMACS(BS),98.0,781.06,0.11,-26.649,0.004,temp: 98.0,0.3704460890542576
5,GROMACS(BS),173.0,729.76,0.09,-21.185,0.004,temp: 173.0,0.6623369159147012
6,GROMACS(BS),248.0,679.32,0.13,-16.146,0.006,temp: 248.0,0.26900468267410443
7,GROMACS(BS),298.0,649.26,0.14,-13.058,0.006,temp: 298.0,0.43765961039915097
8,GROMACS(KL),98.0,776.73,1.8,-26.485,0.048,temp: 98.0,-0.1859823947569703
9,GROMACS(KL),173.0,730.62,2.2,-21.663,0.044,temp: 173.0,0.7809644232427104
10,GROMACS(KL),248.0,683.17,0.79,-17.09,0.013,temp: 248.0,0.8372724622599935
11,GROMACS(KL),298.0,648.4,0.42,-14.101,0.009,temp: 298.0,0.3046214018772266
12,Ind.MC(PB),98.0,776.2,0.1,-28.883,0.006,temp: 98.0,-0.25409026921885036
13,Ind.MC(PB),173.0,726.09,0.11,-26.049,0.006,temp: 173.0,0.156100925340536
14,Ind.MC(PB),248.0,676.27,0.12,-23.398,0.006,temp: 248.0,-0.18118148037447773
15,Ind.MC(PB),298.0,645.96,0.12,-21.82,0.005,temp: 298.0,-0.0728358409058927
16,LAMMPS(AA),98.0,778.07,1.22,-26.699,0.04,temp: 98.0,-0.01378512724956252
17,LAMMPS(AA),173.0,725.17,1.41,-21.723,0.046,temp: 173.0,0.029197080291959932
18,LAMMPS(AA),248.0,676.75,1.79,-17.206,0.062,temp: 248.0,-0.1103325104520768
19,LAMMPS(AA),298.0,643.38,2.36,-14.374,0.063,temp: 298.0,-0.47195046647166594
20,LAMMPS(KL),98.0,784.64,3.62,-23.334,0.129,temp: 98.0,0.8304955052307593
21,LAMMPS(KL),173.0,720.25,4.18,-20.874,0.198,temp: 173.0,-0.6494626127938439
22,LAMMPS(KL),248.0,676.94,3.81,-16.111,0.157,temp: 248.0,-0.08228812652445279
23,LAMMPS(KL),298.0,647.37,3.23,-13.035,0.184,temp: 298.0,0.14528494283353313
24,ms2(KL),98.0,786.49,0.74,-23.332,0.025,temp: 98.0,1.0682305387297897
25,ms2(KL),173.0,721.53,0.57,-20.974,0.019,temp: 173.0,-0.4729007414219297
26,ms2(KL),248.0,677.29,0.26,-16.063,0.017,temp: 248.0,-0.030627419289384162
27,ms2(KL),298.0,647.39,0.3,-12.983,0.01,temp: 298.0,0.14837885465962153
28,ms2*(KL),98.0,792.79,0.08,-23.366,0.005,temp: 98.0,1.877814706861607
29,ms2*(KL),173.0,737.28,0.08,-18.631,0.008,temp: 173.0,1.6996379102247166
30,ms2*(KL),248.0,684.1,0.11,-15.255,0.019,temp: 248.0,0.9745423414846496
31,ms2*(KL),298.0,650.09,0.11,-13.436,0.023,temp: 298.0,0.5660569511819428
32,ms2(PB),98.0,761.09,0.1,-26.21,0.003,temp: 98.0,-2.195807218500098
33,ms2(PB),173.0,717.19,0.29,-20.909,0.007,temp: 173.0,-1.0715558365423277
34,ms2(PB),248.0,676.14,0.22,-16.088,0.007,temp: 248.0,-0.20036974306179323
35,ms2(PB),298.0,646.31,0.14,-13.005,0.006,temp: 298.0,-0.018692383949310477
36,NAMD(FM),98.0,764.36,2.48,-25.99,0.116,temp: 98.0,-1.7755944836126303
37,NAMD(FM),173.0,709.63,3.82,-21.101,0.176,temp: 173.0,-2.114374389332726
38,NAMD(FM),248.0,663.25,4.49,-16.673,0.23,temp: 248.0,-2.102959789519527
39,NAMD(FM),298.0,635.37,4.74,-13.856,0.266,temp: 298.0,-1.7110621528211967
40,Tinker(AA),98.0,777.5,0.7,,,temp: 98.0,-0.087033218651972
41,Tinker(AA),173.0,726.7,1.1,,,temp: 173.0,0.2402436921662175
42,Tinker(AA),248.0,679.2,1.3,,,temp: 248.0,0.2512924401935042
43,Tinker(AA),298.0,646.5,1.9,,,temp: 298.0,0.010699778398564518
44,TOWHEE(BS),98.0,781.02,0.39,-26.621,0.039,temp: 98.0,0.36530587211374277
45,TOWHEE(BS),173.0,727.69,0.83,-21.182,0.05,temp: 173.0,0.3768032645554365
46,TOWHEE(BS),248.0,679.13,0.56,-16.154,0.024,temp: 248.0,0.24096029874648042
47,TOWHEE(BS),298.0,648.04,0.51,-13.04,0.03,temp: 298.0,0.24893098900758254
