,Program(Group),T / K,ρ / kg m−3,δρ / kg m−3,u / kJ mol−1,δu / kJ mol−1,statepoint,Relative_Error
0,DL_POLY(BS),98.0,710.05,0.93,-21.146,0.069,temp: 98.0,0.07172084618069652
1,DL_POLY(BS),173.0,650.92,1.17,-18.201,0.083,temp: 173.0,0.00034139829915918503
2,DL_POLY(BS),248.0,597.74,1.88,-15.702,0.125,temp: 248.0,-0.06241849370799316
3,DL_POLY(BS),298.0,564.47,2.28,-14.194,0.14,temp: 298.0,-0.05764130973645769
4,GROMACS(BS),98.0,708.65,0.05,-21.119,0.002,temp: 98.0,-0.1255897786832577
5,GROMACS(BS),173.0,650.76,0.08,-18.2,0.002,temp: 173.0,-0.02423927923990043
6,GROMACS(BS),248.0,597.85,0.11,-15.703,0.003,temp: 248.0,-0.0440273303833144
7,GROMACS(BS),298.0,564.93,0.14,-14.198,0.004,temp: 298.0,0.023804090368974844
8,GROMACS(KL),98.0,708.7,0.18,-21.13,0.004,temp: 98.0,-0.11854297065239248
9,GROMACS(KL),173.0,650.6,0.23,-18.2,0.002,temp: 173.0,-0.04881995677896004
10,GROMACS(KL),248.0,598.26,0.27,-15.714,0.003,temp: 248.0,0.024521551099565348
11,GROMACS(KL),298.0,564.67,0.0,-14.206,0.004,temp: 298.0,-0.022230266212362713
12,LAMMPS(AA),98.0,709.7,0.72,-21.154,0.034,temp: 98.0,0.02239318996471998
13,LAMMPS(AA),173.0,650.94,0.87,-18.204,0.039,temp: 173.0,0.003413982991556919
14,LAMMPS(AA),248.0,598.0,1.2,-15.7,0.046,temp: 248.0,-0.01894847130421391
15,LAMMPS(AA),298.0,564.58,1.51,-14.192,0.056,temp: 298.0,-0.0381652357981964
16,LAMMPS(KL),98.0,710.03,0.95,-21.147,0.033,temp: 98.0,0.06890212296835684
17,LAMMPS(KL),173.0,650.96,1.23,-18.202,0.041,temp: 173.0,0.006486567683937187
18,LAMMPS(KL),248.0,598.19,1.41,-15.705,0.044,temp: 248.0,0.012818083529327323
19,LAMMPS(KL),298.0,565.1,1.61,-14.188,0.054,temp: 298.0,0.05390347736447872
20,ms2(KL),98.0,709.5,0.15,-21.123,0.004,temp: 98.0,-0.005794042158708925
21,ms2(KL),173.0,650.66,0.16,-18.186,0.003,temp: 173.0,-0.03960220270181924
22,ms2(KL),248.0,598.25,0.17,-15.691,0.003,temp: 248.0,0.022849627160959916
23,ms2(KL),298.0,564.83,0.2,-14.174,0.004,temp: 298.0,0.00609856860693742
24,ms2(PB),98.0,709.66,0.06,-21.136,0.003,temp: 98.0,0.016755743540024584
25,ms2(PB),173.0,650.93,0.08,-18.195,0.002,temp: 173.0,0.0018776906453493193
26,ms2(PB),248.0,597.99,0.1,-15.691,0.003,temp: 248.0,-0.02062039524281934
27,ms2(PB),298.0,564.82,0.14,-14.188,0.003,temp: 298.0,0.0043280164307336775
28,Tinker(AA),98.0,709.7,1.0,,,temp: 98.0,0.02239318996471998
29,Tinker(AA),173.0,651.0,1.4,,,temp: 173.0,0.012631737068697723
30,Tinker(AA),248.0,598.3,1.7,,,temp: 248.0,0.03120924685398708
31,Tinker(AA),298.0,564.9,1.8,,,temp: 298.0,0.018492433840363615
32,TOWHEE(BS),98.0,709.88,0.53,-21.142,0.025,temp: 98.0,0.04776169887579317
33,TOWHEE(BS),173.0,651.49,0.32,-18.214,0.014,temp: 173.0,0.08791006203208417
34,TOWHEE(BS),248.0,598.44,0.24,-15.708,0.01,temp: 248.0,0.05461618199450115
35,TOWHEE(BS),298.0,564.86,0.28,-14.195,0.011,temp: 298.0,0.011410225135548646
