,Program(Group),T / K,ρ / kg m−3,δρ / kg m−3,u / kJ mol−1,δu / kJ mol−1,statepoint,Relative_Error
0,DL_POLY(BS),98.0,686.72,1.08,-20.678,0.073,temp: 98.0,-0.016015607937936212
1,DL_POLY(BS),173.0,,,,,temp: 173.0,
2,DL_POLY(BS),248.0,539.59,2.49,-14.142,0.121,temp: 248.0,-0.10901738313027194
3,DL_POLY(BS),298.0,482.48,3.35,-11.957,0.142,temp: 298.0,0.1312078733947854
4,GROMACS(BS),98.0,684.91,0.08,-20.643,0.003,temp: 98.0,-0.2795451567345902
5,GROMACS(BS),173.0,614.12,0.1,-17.301,0.003,temp: 173.0,-0.14532195418394378
6,GROMACS(BS),248.0,539.42,0.23,-14.139,0.006,temp: 248.0,-0.14048843901506433
7,GROMACS(BS),298.0,481.18,0.36,-11.946,0.01,temp: 298.0,-0.13858687506196793
8,GROMACS(KL),98.0,685.21,0.2,-20.653,0.005,temp: 98.0,-0.2358662259948048
9,GROMACS(KL),173.0,614.43,0.23,-17.311,0.004,temp: 173.0,-0.09491657706840037
10,GROMACS(KL),248.0,539.76,0.26,-14.157,0.004,temp: 248.0,-0.0775463272455006
11,GROMACS(KL),298.0,480.98,0.2,-11.937,0.003,temp: 298.0,-0.18009375943992728
12,LAMMPS(AA),98.0,687.23,0.73,-20.703,0.036,temp: 98.0,0.058238574319680776
13,LAMMPS(AA),173.0,615.15,1.21,-17.32,0.048,temp: 173.0,0.02215397623224167
14,LAMMPS(AA),248.0,540.55,2.04,-14.17,0.076,temp: 248.0,0.06870152068964172
15,LAMMPS(AA),298.0,482.2,3.37,-11.954,0.105,temp: 298.0,0.0730982352656329
16,LAMMPS(KL),98.0,688.04,1.71,-20.705,0.049,temp: 98.0,0.17617168731706664
17,LAMMPS(KL),173.0,615.13,1.49,-17.312,0.051,temp: 173.0,0.018902016418338028
18,LAMMPS(KL),248.0,540.63,2.85,-14.153,0.086,temp: 248.0,0.08351142934130995
19,LAMMPS(KL),298.0,481.8,4.14,-11.944,0.111,temp: 298.0,-0.009915533490285762
20,ms2(KL),98.0,687.42,0.09,-20.68,0.003,temp: 98.0,0.08590189712152997
21,ms2(KL),173.0,615.12,0.27,-17.3,0.005,temp: 173.0,0.017276036511386206
22,ms2(KL),248.0,540.31,0.3,-14.141,0.006,temp: 248.0,0.024271794734658046
23,ms2(KL),298.0,481.25,0.45,-11.913,0.009,temp: 298.0,-0.12405946552968276
24,ms2(PB),98.0,686.84,0.08,-20.678,0.003,temp: 98.0,0.0014559643579746394
25,ms2(PB),173.0,615.02,0.1,-17.304,0.003,temp: 173.0,0.0010162374418495094
26,ms2(PB),248.0,539.94,0.19,-14.134,0.005,temp: 248.0,-0.04422403277925232
27,ms2(PB),298.0,481.43,0.28,-11.931,0.007,temp: 298.0,-0.08670326958951584
28,Tinker(AA),98.0,687.5,1.2,,,temp: 98.0,0.09754961198547606
29,Tinker(AA),173.0,615.5,1.5,,,temp: 173.0,0.07906327297561086
30,Tinker(AA),248.0,540.8,2.2,,,temp: 248.0,0.11498248522608129
31,Tinker(AA),298.0,483.2,2.5,,,temp: 298.0,0.2806326571554414
32,TOWHEE(BS),98.0,687.6,0.47,-20.7,0.02,temp: 98.0,0.11210925556540453
33,TOWHEE(BS),173.0,615.64,0.28,-17.321,0.011,temp: 173.0,0.10182699167295484
34,TOWHEE(BS),248.0,540.61,0.56,-14.156,0.019,temp: 248.0,0.07980895217839817
35,TOWHEE(BS),298.0,482.11,0.52,-11.944,0.015,temp: 298.0,0.05442013729555533
