,Program(Group),T / K,ρ / kg m−3,δρ / kg m−3,u / kJ mol−1,δu / kJ mol−1,statepoint,Relative_Error
0,DL_POLY(BS),98.0,,,,,temp: 98.0,
1,DL_POLY(BS),173.0,703.01,3.62,-20.799,0.173,temp: 173.0,-0.019080961348599896
2,DL_POLY(BS),248.0,637.54,4.96,-15.543,0.244,temp: 248.0,-0.18435380273751842
3,DL_POLY(BS),298.0,592.91,6.04,-12.255,0.311,temp: 298.0,-0.0980075541639427
4,GROMACS(BS),98.0,772.17,0.07,-26.23,0.003,temp: 98.0,0.9159084590543968
5,GROMACS(BS),173.0,704.59,0.15,-20.722,0.004,temp: 173.0,0.20562402447105174
6,GROMACS(BS),248.0,640.41,0.16,-15.638,0.004,temp: 248.0,0.2649841283509526
7,GROMACS(BS),298.0,593.49,0.24,-12.269,0.007,temp: 298.0,-0.00028082393745132683
8,GROMACS(KL),98.0,771.26,0.31,-26.206,0.009,temp: 98.0,0.7969793674065261
9,GROMACS(KL),173.0,706.09,0.43,-20.768,0.011,temp: 173.0,0.4189515426542599
10,GROMACS(KL),248.0,640.36,0.48,-15.652,0.01,temp: 248.0,0.2571559413981989
11,GROMACS(KL),298.0,595.3,0.64,-12.312,0.012,temp: 298.0,0.3046939721141549
12,Ind.MC(PB),98.0,767.35,0.12,-26.001,0.007,temp: 98.0,0.28597634724917803
13,Ind.MC(PB),173.0,702.77,0.11,-20.621,0.006,temp: 173.0,-0.05321336425791448
14,Ind.MC(PB),248.0,637.84,0.15,-15.533,0.007,temp: 248.0,-0.1373846810209429
15,Ind.MC(PB),298.0,591.7,0.17,-12.165,0.008,temp: 298.0,-0.30188573273987146
16,LAMMPS(AA),98.0,767.75,1.33,-26.077,0.052,temp: 98.0,0.3382528710504387
17,LAMMPS(AA),173.0,702.47,1.81,-20.638,0.057,temp: 173.0,-0.09587886789454964
18,LAMMPS(AA),248.0,638.58,3.11,-15.555,0.082,temp: 248.0,-0.02152751412008154
19,LAMMPS(AA),298.0,592.7,2.57,-12.189,0.085,temp: 298.0,-0.13339137028041545
20,LAMMPS(KL),98.0,759.92,4.61,-25.877,0.148,temp: 98.0,-0.6850600823593028
21,LAMMPS(KL),173.0,702.64,3.04,-20.682,0.125,temp: 173.0,-0.0717017491671252
22,LAMMPS(KL),248.0,638.36,3.69,-15.602,0.167,temp: 248.0,-0.05597153671223335
23,LAMMPS(KL),298.0,590.72,4.78,-12.212,0.213,temp: 298.0,-0.46701020795014136
24,ms2(KL),98.0,760.61,0.8,-25.877,0.023,temp: 98.0,-0.5948830788021159
25,ms2(KL),173.0,701.21,0.3,-20.607,0.007,temp: 173.0,-0.2750739831684431
26,ms2(KL),248.0,638.3,0.53,-15.542,0.011,temp: 248.0,-0.06536536105555558
27,ms2(KL),298.0,591.4,0.52,-12.158,0.011,temp: 298.0,-0.35243404147771973
28,ms2*(KL),98.0,769.4,0.08,-26.51,0.005,temp: 98.0,0.5538935317306484
29,ms2*(KL),173.0,704.12,0.08,-21.348,0.004,temp: 173.0,0.138781402106976
30,ms2*(KL),248.0,639.33,0.12,-16.538,0.005,temp: 248.0,0.09589529017133055
31,ms2*(KL),298.0,593.82,0.12,-13.374,0.005,temp: 298.0,0.05532231567417606
32,ms2(PB),98.0,759.96,0.29,-25.858,0.009,temp: 98.0,-0.6798324299791664
33,ms2(PB),173.0,702.58,0.16,-20.649,0.005,temp: 173.0,-0.08023484989444576
34,ms2(PB),248.0,638.05,0.18,-15.551,0.005,temp: 248.0,-0.10450629581935961
35,ms2(PB),298.0,593.46,0.27,-12.218,0.007,temp: 298.0,-0.00533565481123041
36,NAMD(FM),98.0,761.87,3.53,-25.924,0.135,temp: 98.0,-0.43021202882813653
37,NAMD(FM),173.0,702.14,4.02,-20.668,0.18,temp: 173.0,-0.14281092189486122
38,NAMD(FM),248.0,637.9,5.18,-15.588,0.251,temp: 248.0,-0.12799085667763846
39,NAMD(FM),298.0,590.59,6.46,-12.201,0.306,temp: 298.0,-0.4889144750698699
40,Tinker(AA),98.0,757.9,0.7,,,temp: 98.0,-0.9490565275556819
41,Tinker(AA),173.0,703.0,2.7,,,temp: 173.0,-0.020503144803153323
42,Tinker(AA),248.0,639.6,4.2,,,temp: 248.0,0.13816749971623604
43,Tinker(AA),298.0,603.0,4.4,,,temp: 298.0,1.6021005630519738
44,TOWHEE(BS),98.0,768.59,0.58,-26.113,0.035,temp: 98.0,0.44803357103309654
45,TOWHEE(BS),173.0,703.11,0.62,-20.681,0.034,temp: 173.0,-0.004859126803049458
46,TOWHEE(BS),248.0,638.34,0.59,-15.589,0.03,temp: 248.0,-0.05910281149333483
47,TOWHEE(BS),298.0,592.81,0.77,-12.255,0.031,temp: 298.0,-0.11485699040989215
