,associated_work,MCorMD,engine,molecule,replicate,temperature,density,density-std,forcefield
553,MoSDeF,MC,mcccs,ethanolAA,4,280.0,0.8131807988184974,0.006366408322666635,oplsaa
554,MoSDeF,MD,hoomd,methaneUA,3,140.0,0.3759700470497105,0.004504399394697688,trappe-ua
555,MoSDeF,MC,mcccs,methaneUA,12,140.0,0.3758343292793647,0.004503687889967739,trappe-ua
556,MoSDeF,MD,gromacs,waterSPCE,4,320.0,0.9864843127321802,0.00833300569120077,spce
557,MoSDeF,MC,cassandra,benzeneUA,8,450.0,0.6978220128733335,0.01372101748625962,benzene-ua
558,MoSDeF,MD,hoomd,pentaneUA-flexible_bonds,13,372.0,0.5171757088640072,0.013220679959929245,trappe-ua
559,MoSDeF,MD,lammps-VU,methaneUA,14,140.0,0.37597137398803343,0.004358732170633075,trappe-ua
560,MoSDeF,MC,mcccs,ethanolAA,13,280.0,0.8128156791289598,0.006770804456270945,oplsaa
561,MoSDeF,MD,hoomd,pentaneUA-constrain_bonds,9,372.0,0.5416673926429753,0.011925680785192815,trappe-ua
562,MoSDeF,MC,gomc,methaneUA,14,140.0,0.37571639066724993,0.0036905036458102377,trappe-ua
563,MoSDeF,MC,cassandra,benzeneUA,10,450.0,0.6977795420333333,0.013960907712679051,benzene-ua
564,MoSDeF,MC,mcccs,waterSPCE,14,280.0,1.0033049831628023,0.00689190641510894,spce
565,MoSDeF,MD,gromacs,benzeneUA,5,450.0,0.7048990589577396,0.02035025779288164,benzene-ua
566,MoSDeF,MD,gromacs,ethanolAA,11,280.0,0.8167962468053265,0.008795738814918972,oplsaa
567,MoSDeF,MC,mcccs,waterSPCE,12,320.0,0.9858101291498741,0.008348180370178758,spce
568,MoSDeF,MD,gromacs,waterSPCE,6,300.0,0.9978468695665164,0.007594322422068086,spce
569,MoSDeF,MC,cassandra,methaneUA,13,140.0,0.3756801445291667,0.0045048049942190685,trappe-ua
570,MoSDeF,MD,hoomd,ethanolAA,11,280.0,0.8143850702841933,0.006717967208561528,oplsaa
571,MoSDeF,MD,lammps-VU,ethanolAA,7,300.0,0.7952722907022564,0.007292024354956185,oplsaa
572,MoSDeF,MD,gromacs,pentaneUA-constrain_bonds,15,372.0,0.54186829335793,0.012072528137763749,trappe-ua
573,MoSDeF,MD,lammps-VU,ethanolAA,4,300.0,0.7953847007740429,0.0071642423828017845,oplsaa
574,MoSDeF,MC,gomc,waterSPCE,3,280.0,1.00774040665375,0.006539964663786401,spce
575,MoSDeF,MD,hoomd,waterSPCE,10,320.0,0.9863216409440921,0.007829241329386219,spce
576,MoSDeF,MD,gromacs,ethanolAA,2,280.0,0.8167747643708563,0.00854818176057254,oplsaa
577,MoSDeF,MD,lammps-VU,methaneUA,12,140.0,0.3759112770079068,0.004517169431677692,trappe-ua
578,MoSDeF,MD,lammps-VU,benzeneUA,13,450.0,0.6979134989238341,0.014156085404066593,benzene-ua
579,MoSDeF,MD,gromacs,ethanolAA,1,320.0,0.7736300684809327,0.010496366180641868,oplsaa
580,MoSDeF,MC,cassandra,waterSPCE,10,300.0,0.9963947751258332,0.007290564377803033,spce
581,MoSDeF,MC,mcccs,waterSPCE,5,320.0,0.9848875856682837,0.008567925377341508,spce
582,MoSDeF,MD,lammps-VU,ethanolAA,13,320.0,0.7740545271432797,0.00778883305875588,oplsaa
583,MoSDeF,MC,mcccs,ethanolAA,6,280.0,0.8125909648107575,0.006879388607432544,oplsaa
584,MoSDeF,MC,cassandra,ethanolAA,7,320.0,0.7685517339091668,0.007701704317743874,oplsaa
585,MoSDeF,MD,gromacs,methaneUA,9,140.0,0.3758797115943023,0.004319981178785969,trappe-ua
586,MoSDeF,MD,lammps-VU,ethanolAA,15,320.0,0.7742712937843161,0.007689233969998731,oplsaa
587,MoSDeF,MC,cassandra,methaneUA,1,140.0,0.37585042470999996,0.0045381914353834815,trappe-ua
588,MoSDeF,MD,gromacs,ethanolAA,4,300.0,0.7958833432532244,0.009810331126708302,oplsaa
589,MoSDeF,MC,cassandra,waterSPCE,9,300.0,1.0014169668275,0.00751946918939084,spce
590,MoSDeF,MC,mcccs,ethanolAA,5,280.0,0.8110000930834091,0.007174306733489894,oplsaa
591,MoSDeF,MC,gomc,waterSPCE,11,300.0,1.0000846780521666,0.006373067888040589,spce
592,MoSDeF,MC,cassandra,methaneUA,11,140.0,0.3756139065058333,0.004482385297523664,trappe-ua
593,MoSDeF,MD,hoomd,ethanolAA,12,280.0,0.8145295835841119,0.006726035979386308,oplsaa
594,MoSDeF,MC,mcccs,waterSPCE,4,280.0,1.007834709613057,0.008161450494222443,spce
595,MoSDeF,MC,mcccs,ethanolAA,6,300.0,0.7906217843830503,0.0070938681969268235,oplsaa
596,MoSDeF,MD,lammps-VU,methaneUA,9,140.0,0.37598386407304635,0.004484321884175144,trappe-ua
597,MoSDeF,MD,gromacs,methaneUA,6,140.0,0.3759587275599079,0.0041865459241068785,trappe-ua
598,MoSDeF,MD,lammps-VU,ethanolAA,8,320.0,0.7734067502855804,0.007927431756842088,oplsaa
599,MoSDeF,MD,hoomd,waterSPCE,12,320.0,0.9861615662847132,0.00785762050377449,spce
600,MoSDeF,MC,cassandra,methaneUA,6,140.0,0.37570472396,0.004534476631039914,trappe-ua
601,MoSDeF,MC,gomc,pentaneUA-constrain_bonds,7,372.0,0.54136970455525,0.01183206654864145,trappe-ua
602,MoSDeF,MD,hoomd,pentaneUA-constrain_bonds,8,372.0,0.5413889222683395,0.011997682375852298,trappe-ua
603,MoSDeF,MC,gomc,ethanolAA,7,300.0,0.7916537940579168,0.006858733843746477,oplsaa
604,MoSDeF,MD,hoomd,methaneUA,13,140.0,0.3759666489778849,0.004489145132329171,trappe-ua
605,MoSDeF,MC,cassandra,methaneUA,9,140.0,0.3755330090591667,0.0044943725866549225,trappe-ua
606,MoSDeF,MD,gromacs,pentaneUA-constrain_bonds,12,372.0,0.5419809715486102,0.011695001123127498,trappe-ua
607,MoSDeF,MC,gomc,waterSPCE,9,280.0,1.0086945271040832,0.006040646196191828,spce
608,MoSDeF,MC,cassandra,ethanolAA,14,300.0,0.7911542848533333,0.0069321985344406286,oplsaa
609,MoSDeF,MD,hoomd,waterSPCE,8,300.0,0.9978204715864707,0.007636944815711124,spce
610,MoSDeF,MD,hoomd,waterSPCE,6,280.0,1.006507100423045,0.007279781655971702,spce
611,MoSDeF,MC,mcccs,ethanolAA,0,280.0,0.813055924241972,0.006527038347914959,oplsaa
612,MoSDeF,MD,gromacs,pentaneUA-flexible_bonds,11,372.0,0.5341619134730183,0.021281886587780185,trappe-ua
613,MoSDeF,MC,cassandra,ethanolAA,0,320.0,0.7684447531808334,0.007520222773231653,oplsaa
614,MoSDeF,MC,mcccs,methaneUA,6,140.0,0.3760308378729022,0.004411409360282824,trappe-ua
615,MoSDeF,MC,cassandra,ethanolAA,7,300.0,0.7920408581316666,0.00735161969895814,oplsaa
616,MoSDeF,MC,cassandra,waterSPCE,14,320.0,0.9867729618716666,0.007813550685060172,spce
617,MoSDeF,MD,gromacs,waterSPCE,14,320.0,0.9863140659099625,0.007624151109437128,spce
618,MoSDeF,MC,gomc,methaneUA,0,140.0,0.37572815823016664,0.003989230012735338,trappe-ua
