,Program(Group),T / K,ρ / kg m−3,δρ / kg m−3,u / kJ mol−1,δu / kJ mol−1,statepoint,Relative_Error
0,DL_POLY(BS),98.0,,,,,temp: 98.0,
1,DL_POLY(BS),173.0,,,,,temp: 173.0,
2,DL_POLY(BS),248.0,561.46,6.51,-11.885,0.162,temp: 248.0,3.294371604135743
3,DL_POLY(BS),298.0,515.77,5.8,-10.469,0.179,temp: 298.0,2.1338530313056374
4,GROMACS(BS),98.0,671.11,0.08,-16.616,0.002,temp: 98.0,0.9955619035110774
5,GROMACS(BS),173.0,610.99,0.12,-14.09,0.002,temp: 173.0,1.7231619605754094
6,GROMACS(BS),248.0,550.6,0.13,-11.838,0.003,temp: 248.0,1.2964075895649534
7,GROMACS(BS),298.0,513.62,0.15,-10.468,0.003,temp: 298.0,1.7081055391728945
8,GROMACS(KL),98.0,668.03,1.6,-16.572,0.021,temp: 98.0,0.5320517030032348
9,GROMACS(KL),173.0,608.3,2.8,-14.069,0.023,temp: 173.0,1.2753063399041162
10,GROMACS(KL),248.0,556.08,3.7,-11.863,0.018,temp: 248.0,2.3045883261992026
11,GROMACS(KL),298.0,520.11,4.3,-10.489,0.011,temp: 298.0,2.9932688991457015
12,Ind.MC(PB),98.0,672.79,0.07,-16.618,0.003,temp: 98.0,1.248385649242617
13,Ind.MC(PB),173.0,609.86,0.09,-14.065,0.003,temp: 173.0,1.5350293020778074
14,Ind.MC(PB),248.0,550.78,0.1,-11.82,0.004,temp: 248.0,1.3295230152208137
15,Ind.MC(PB),298.0,512.9,0.11,-10.449,0.004,temp: 298.0,1.5655296348307597
16,LAMMPS(AA),98.0,657.12,0.8,-16.429,0.03,temp: 98.0,-1.1097977410034148
17,LAMMPS(AA),173.0,589.89,1.18,-13.923,0.038,temp: 173.0,-1.7897575919019526
18,LAMMPS(AA),248.0,533.82,1.68,-11.764,0.04,temp: 248.0,-1.7906859799099777
19,LAMMPS(AA),298.0,498.09,2.42,-10.425,0.053,temp: 298.0,-1.367177508651096
20,LAMMPS(KL),98.0,656.11,1.47,-16.423,0.053,temp: 98.0,-1.2617929690920222
21,LAMMPS(KL),173.0,584.92,2.72,-13.889,0.087,temp: 173.0,-2.6172083111347755
22,LAMMPS(KL),248.0,524.01,4.27,-11.733,0.114,temp: 248.0,-3.5954766781548706
23,LAMMPS(KL),298.0,484.85,5.22,-10.42,0.13,temp: 298.0,-3.988989971831354
24,ms2(KL),98.0,657.89,0.13,-16.4,0.003,temp: 98.0,-0.9939201908764584
25,ms2(KL),173.0,593.59,0.23,-13.882,0.003,temp: 173.0,-1.1737480021310338
26,ms2(KL),248.0,533.77,0.34,-11.725,0.003,temp: 248.0,-1.7998847092588428
27,ms2(KL),298.0,496.04,0.41,-10.406,0.003,temp: 298.0,-1.7731227918474275
28,ms2*(KL),98.0,673.12,0.07,-16.638,0.003,temp: 98.0,1.2980474564398914
29,ms2*(KL),173.0,609.79,0.09,-14.071,0.003,temp: 173.0,1.5233750665956467
30,ms2*(KL),248.0,550.9,0.08,-11.833,0.002,temp: 248.0,1.3515999656580608
31,ms2*(KL),298.0,512.87,0.09,-10.46,0.002,temp: 298.0,1.5595889721498433
32,ms2(PB),98.0,660.23,0.06,-16.453,0.002,temp: 98.0,-0.6417728307503702
33,ms2(PB),173.0,605.42,0.06,-14.013,0.002,temp: 173.0,0.795817794352705
34,ms2(PB),248.0,548.55,0.1,-11.79,0.003,temp: 248.0,0.919259686261984
35,ms2(PB),298.0,509.12,0.12,-10.417,0.003,temp: 298.0,0.8170061370345861
36,NAMD(FM),98.0,657.47,2.98,-16.429,0.079,temp: 98.0,-1.057126127309339
37,NAMD(FM),173.0,588.15,4.47,-13.901,0.125,temp: 173.0,-2.079448588172599
38,NAMD(FM),248.0,527.34,5.91,-11.736,0.157,temp: 248.0,-2.9828413035212793
39,NAMD(FM),298.0,489.01,6.53,-10.418,0.172,temp: 298.0,-3.1652180800768357
40,Tinker(AA),98.0,663.2,0.9,,,temp: 98.0,-0.1948165659749523
41,Tinker(AA),173.0,596.4,1.0,,,temp: 173.0,-0.7059136920617836
42,Tinker(AA),248.0,534.6,1.1,,,temp: 248.0,-1.6471858020678818
43,Tinker(AA),298.0,494.7,1.2,,,temp: 298.0,-2.0384723915952856
44,TOWHEE(BS),98.0,672.37,0.61,-16.614,0.024,temp: 98.0,1.1851797128097363
45,TOWHEE(BS),173.0,609.73,0.52,-14.073,0.017,temp: 173.0,1.513385721896668
46,TOWHEE(BS),248.0,550.73,0.41,-11.829,0.012,temp: 248.0,1.3203242858719695
47,TOWHEE(BS),298.0,512.85,0.54,-10.461,0.016,temp: 298.0,1.5556285303625654
