N,       MCCCS-MN,             MCCCS-MN-SEM,      MCCCS-MN_MOD,       MCCCS-MN_MOD-SEM,LAMMPS,LAMMPS-SEM
450,  0.3757149453125,  1.8464419759325417e-05, 0.3758796279296875, 2.1141175436222048e-05, 0.37596018067058534, 1.0696564434989992e-05
600,  0.37575966015625, 1.664980888536247e-05,  0.3758753798828125, 1.6844212963482197e-05, 0.3759563057879684, 1.0585522924022224e-05
900,  0.375772958984375,1.4302126764635255e-05,  0.375828626953125, 1.5793927770968066e-05, 0.3759470333242201, 7.880818703539984e-06
1800, 0.375786361328125,1.0424615147317095e-05, 0.37581130078125, 1.0895590984002773e-05, 0.3759249873509535, 5.6687495225557835e-06
3600, 0.375769048828125,7.25344242283143e-06,  0.375799328125, 7.179575855935392e-06, 0.37591663447887197, 3.8013757196639098e-06
7200, 0.375791580078125,5.3669435079162e-06,   0.37578955078125, 5.251680326629693e-06, 0.3759113827194137 , 2.8024093811553633e-06
