N,       MCCCS-MN,             MCCCS-MN-SEM,      MCCCS-MN_MOD,       MCCCS-MN_MOD-SEM,        LAMMPS,                LAMMPS-SEM,              MCCCS-MN-T-1,     MCCCS-MN-T-1-SEM
450,  0.37576963671875,  1.948398640328493e-05,   0.37582821484375,   1.8479972900434098e-05, 0.37596018067058534, 1.0696564434989992e-05,   0.37628620996093753, 1.978852704199441e-05
600,  0.3757781513671875,1.911240129444956e-05,   0.37585099218749995,1.7430349647737803e-05, 0.3759563057879684,  1.0585522924022224e-05,   0.3761946923828125,  1.746844982789676e-05
900,  0.375783101562500, 1.45138028236081e-05,    0.3758272490234375, 1.4902446301383524e-05, 0.3759470333242201,  7.880818703539984e-06,    0.37605893945312496, 1.3672993571163424e-05
1800, 0.375786482421875, 1.0623433647682526e-05,  0.375804564453125,  1.0301156526484616e-05, 0.3759249873509535,  5.6687495225557835e-06,   0.37592678515625,    9.638858228310294e-06
3600, 0.375779765625000, 6.8409969418669925e-06,  0.375788271484375,  7.373799637520309e-06,  0.37591663447887197, 3.8013757196639098e-06,   0.375851892578125,   1.0372275706467281e-05
7200, 0.375783873046875, 5.3694921248725615e-06,  0.37578964843749996,5.223438076027228e-06,  0.3759113827194137 , 2.8024093811553633e-06,   0.0000000000000000, 0.00000000000000000000
