#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        COMPRESSIBILITY ENTHALPY        VOLUME
1                 6.45545731e+07  6.45699955e+07 -1.54224711e+04  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  8.14977001e+08  5.87192362e+05  9.00000000e+02  3.75187945e+02  2.15702381e+03  3.10720289e+03  6.39040480e+04
2                 6.45545731e+07  6.45699955e+07 -1.54224711e+04  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  8.14977001e+08  5.87192362e+05  9.00000000e+02  3.75187945e+02  2.15702381e+03  3.10720289e+03  6.39040480e+04
